Time	x	y
0	0.05	0
0.1	0.1	0
0.2	0.15	0
0.3	0.2	0
0.4	0.25	0
0.4	0.2500023163	0.0499999999
0.5	0.2500046327	0.0999999999
0.6	0.250006949	0.1499999998
0.7	0.2500092654	0.1999999998
0.8	0.2500115817	0.2499999997
0.9	0.250013898	0.2999999997
1	0.2500162144	0.3499999996
1	0.3000162144	0.3499999996
1.1	0.3500162144	0.3499999996
1.2	0.4000162144	0.3499999996
1.3	0.4500162144	0.3499999996
1.4	0.5000162144	0.3499999996
1.4	0.5000185307	0.2999999997
1.5	0.5000208471	0.2499999997
1.6	0.5000231634	0.1999999998
1.7	0.5000254797	0.1499999998
1.8	0.5000277961	0.0999999999
1.9	0.5000301124	0.0499999999
